Molecule,Molecule name
N,H3N
O=C(O)c1c(OC(=O)C)cccc1,C9H8O4
C#C,C2H2
O=C1O[C@H]([C@@H](O)CO)C(=C1O)O,C6H8O6
O=C1OC([C@@H](O)CO)C(=C1O)O,C6H8O6
NC(Cc1ccccc1)C,C9H13N
O=C(OC)[C@@H](NC(=O)[C@@H](N)CC(=O)O)Cc1ccccc1,C14H18N2O5
O=NOCCCCC,C5H11NO2
O1[C@@H](O[C@@H](C#N)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@H]3O)O)CO)O,C20H27NO11
O1[C@@H](OC(C#N)c2ccccc2)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO[C@@H]3O[C@@H]([C@@H](O)[C@@H]([C@H]3O)O)CO)O,C20H27NO11
O=C(O)[O-],CHO3
O=C(O)c1ccccc1,C7H6O2
O=C=O,CO2
N#[C-],CN
O=C([O-])[O-],CO3
O=c1nccc([nH]1)N,C4H5N3O
[O+]#[C-],CO
O[C@@H]1CC2=CC[C@H]3[C@H]4[C@]([C@@H]([C@@H](CCCC(C)C)C)CC4)(C)CC[C@@H]3[C@@]2(C)CC1,C27H46O
O=c1n(c(=O)c2n(C)cnc2n1C)C,C8H10N4O2
O=C(N1c2c(C=Cc3c1cccc3)cccc2)N,C15H12N2O
O=[N+]([O-])N1CN([N+](=O)[O-])CN(C1)[N+](=O)[O-],C3H6N6O6
O=C(O[C@@H]1[C@H](C(=O)OC)[C@@H]2N(C)[C@H](C1)CC2)c3ccccc3,C17H21NO4
O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(C[C@@H](O)CC4)=CC3)C)CC2)CC1)C,C19H28O2
C=C,C2H4
O1c2c(ccc(c2)CC(NC)C)OC1,C11H15NO2
OCC,C2H6O
O=C1O[C@@H]([C@@](O)([C@H](O)[C@H](C(=O)[C@H](C)C[C@]([C@@H]([C@H]([C@@H]([C@H]1C)O[C@@H]2O[C@H]([C@H](O)[C@@](C2)(OC)C)C)C)O[C@@H]3O[C@@H](C[C@@H]([C@H]3O)N(C)C)C)(O)C)C)C)CC,C37H67NO13
Oc1c(O)ccc(c1)[C@@H](O)CNC,C9H13NO3
O=C(O)CN,C2H5NO2
O=c1[nH]c(nc2c1ncn2[C@@H]3O[C@H](CO)[C@H]([C@H]3O)O)N,C10H13N5O5
O=c1[nH]c(nc2c1nc[nH]2)N,C5H5N5O
O1C(O)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O,C6H12O6
O1[C@H](O)[C@H](O)[C@@H](O)[C@@H]([C@H]1CO)O,C6H12O6
O=C(O)CCCO,C4H8O3
[OH-],HO
O=C(Oc1c2O[C@H]3[C@@H](OC(=O)C)C=C[C@@H]4[C@]53c2c(C[C@H]4N(C)CC5)cc1)C,C21H23NO5
O([2H])[2H],OD2
OO,H2O2
O=C1[C@@H]2Oc3c(OC)ccc4c3[C@]25[C@H]([C@H](N(C)CC5)C4)CC1,C18H21NO3
